pres_nm,facil_sn,brno,voucher,FCLTY_NM,FCLTY_TY_NM,CTPRVN_NM,CTPRVN_CD,FULL_ADDR,RSPNSBLTY_TEL_NO
이경희 ,1,4044800581,True,가오점핑,기타종목,대전,30,대전광역시 동구 은어송로 42-255층가오점핑(가오동),
이국환,24914,3779200318,True,라온태권스쿨,태권도,경기,41,"경기도 의정부시 신흥로 1462,3층 라온태권스쿨(호원동)",
전호정,1,5283500908,True,라온풋살장(라온아이),축구,서울,11,서울특별시 도봉구 해등로32가길 104553-2번지 라온풋살장(방학동),
이영미,1,4337100326,True,라온필라테스,필라테스,대전,30,대전광역시 동구 계족로 10일신빌딩 301호 라온필라테스(효동),
"김철원, 윤소군",1,6735600479,True,라온필라테스,필라테스,경기,41,경기도 고양시 덕양구 중앙로 4507층 라온필라테스(행신동),
박나영,1,7624300522,True,라온필라테스 스튜디오,필라테스,경기,41,경기도 광주시 태봉로13번길 15한남빌딩 301호(장지동),
윤경진,1,8900900804,True,라온합기도,합기도,경남,48,경상남도 고성군 고성읍 중앙로 74나동 2층 라온합기도,
허동준,23417,6163051617,True,라온합기도,합기도,제주,50,제주특별자치도 서귀포시 중앙로195번길 42층 라온합기도(서홍동),
조민서,26160,5089096923,True,라움무용학원,발레,경기,41,경기도 화성시 동탄순환대로 7077층 라움무용학원(영천동),
이지혜,1,2219206358,True,라움발레무용학원,발레,경기,41,경기도 파주시 금빛로 24-28우성메디피아 502(금촌동),
정운용,1,3039605381,True,라이노유도관,유도,경기,41,경기도 안성시 공도읍 공도4로 3우성메디컬프라자 303호,
정군하,1,3170395556,True,라이노짐,기타종목,충북,43,"충청북도 청주시 상당구 월평로 221효성아파트상가 지하3호(용암동, 효성아파트)",
한학진,1,1539800693,True,라이언스위밍센터,수영,전남,46,전라남도 순천시 구암길 32라이언 스위밍센터(연향동),
이관원,22516,4959300118,True,라이온 경찰태권도,태권도,인천,28,인천광역시 부평구 주부토로 1002층(부평동),
박상영,1,1169604681,True,라이온경찰합기도,합기도,인천,28,인천광역시 부평구 경인로 871-1(부평동),
박진완,1,4169702974,True,라이온즈 태권도,태권도,대구,27,대구광역시 달서구 장기로 125-21라이온즈태권도장(성당동),
이상화,1,4019510333,True,라이온즈(월성) 태권도,태권도,대구,27,대구광역시 달서구 상원로 184-8A동 3층,
최한나,1,2219207788,True,라이온즈부부태권도,태권도,경기,41,경기도 남양주시 별내면 청학로54번길 20B동 1층(레포츠센터),
김기훈,19772,5039204403,True,라이온즈태권도,태권도,대구,27,대구광역시 서구 당산로47길 1182층 라이온즈태권도 (중리동),
라이온즈,1,3939700111,True,라이온즈태권도장,태권도,경기,41,경기도 남양주시 오남읍 진건오남로 552상일빌딩4층 라이온즈태권도장,
이성두,20952,4029217527,True,라이온태권도,태권도,전북,52,전라북도 전주시 완산구 오공로 47청강빌딩 4층 402호 라이온태권도(중동),0632889889
마정진,6716,4179160693,True,라이온태권도,태권도,전남,46,전라남도 여수시 소라면 죽림로 512층,
이혜용,1,5269401873,True,후태권도,태권도,서울,11,서울특별시 성북구 월곡로14길 243층(하월곡동),029090012
박재원,16773,1223195553,True,라이온합기도,합기도,인천,28,인천 계양구 작전동140-8 신진상가2층 라이온합기도,
유재경,1,7799500214,True,라이온태권스쿨,태권도,충북,43,충청북도 청주시 흥덕구 서현로 60(가경동) 메리맘스상가 516호,0432323336
신동우,1,2732500917,True,라이징썬키즈 스포츠,기타종목,경기,41,경기도 용인시 기흥구 이현로29번길 362층201호 라이징썬 키즈 스포츠(보정동),
이세림,1,2979600529,True,라이트하우스댄스학원,댄스,경기,41,경기도 광명시 오리로 64910층 (하안동),
조라인 ,1,5679901447,True,라이프라인 무용학원 ,발레,경기,41,경기도 양평군 서종면 중미산로 183층,
구본기,1,3518801040,True,라이프스포츠 주식회사,수영,경기,41,경기도 수원시 장안구 대평로90번길 19라이프스포츠(정자동),
조정로,1,6671801409,True,라온필라테스,필라테스,경기,41,경기도 고양시 일산동구 장백로 862층 라온필라테스(백석동),
김용재,7674,3149178346,True,라이온킹태권도장,태권도,대전,30,대전 서구 갈마동265-31번지 4층,0424777888
