main_event_cd,city_nm,main_event_nm,city_cd,pres_nm,faci_daddr,row_num,facil_nm,facil_sn,road_addr,local_nm,faci_zip,local_cd,brno,facil_gbn_nm,res_telno,voucher
22,경기,태권도,41,전요섭,3층(원곡동),16983,안산품태권도장,1,경기도 안산시 단원구 원선로 47,안산시,15374,41270,3249501430,강좌,0314910622,True
79,인천,필라테스,28,노해영,2층(신현동),16984,더바른필라테스,1,인천광역시 서구 염곡로 395,서구,22779,28260,4590602425,강좌,,True
3,부산,기타종목,26,김진성,"3층, 주짓수(만덕동)",16985,또지코리아 만덕점 주짓수,1,부산광역시 북구 덕천로281번길 24,북구,46566,26320,2620702658,강좌,0513385922,True
7,부산,댄스,26,박희정,2층(부전동),16986,살사핏댄스학원,1,부산광역시 부산진구 중앙대로680번길 680,부산진구,47296,26230,2049684191,강좌,0518023699,True
22,대전,태권도,30,송경섭,(법동) 344-12 대영상가 3층,16987,법동화랑태권도체육관,2103,대전광역시 대덕구 아리랑로 213,대덕구,34356,30230,3059176761,강좌,,True
22,충북,태권도,43,최세라,3층 한마음태권도,16988,한마음태권도,2,충청북도 음성군 감곡면 감문8길 24,음성군,27611,43770,3729101576,강좌,,True
22,충북,태권도,43,조정선,5층 (호암동),16989,용인대조정선태권스쿨,4520,충청북도 충주시 호암토성2로 3,충주시,27480,43130,1319098492,강좌,,True
22,강원,태권도,51,한성진,,16990,용인대한국태권도장,1694,강원 삼척시 남양동,삼척시,245938,51230,2229010905,강좌,,True
22,강원,태권도,51,우종화,"1층, 하나리더태권스쿨(단구동)",16991,하나리더태권스쿨,20981,강원도 원주시 구곡길 2-42,원주시,26486,51130,2999200041,강좌,,True
3,인천,기타종목,28,강민혜,아이플렉스 6층 605-1호(논현동),16992,강민혜운동발달전문센터,1,인천광역시 남동구 논고개로123번길 17,남동구,21653,28200,6569901524,강좌,07043044322,True
22,강원,태권도,51,박재형,2층 하늘내린태권도장,16993,하늘내린태권도장,1,강원도 인제군 인제읍 인제로 228,인제군,24636,51810,3499801667,강좌,0334617666,True
22,강원,태권도,51,문재성,2층(회산동),16994,한국체대 명주태권도,24224,강원도 강릉시 강변로 74-11,강릉시,25600,51150,4879300193,강좌,0336456310,True
22,충북,태권도,43,구혜영,상가 2층 201호 참멋태권도(코아루아파트),16995,참멋태권도 각리관,1,충청북도 청주시 청원구 오창읍 오창중앙로 27,청주시,28124,43110,1109373312,강좌,0432153579,True
79,강원,필라테스,51,서은솔,"4층, 필라테스토리",16996,필라테스토리,1,강원특별자치도 원주시 문막읍 건등로 10,원주시,26370,51130,2690502524,강좌,,True
22,울산,태권도,31,심상기,"상가 2층 201호, 202호(호계동, 호계1단지주공아파트)",16997,주공 농소태권도,1,울산광역시 북구 동대12길 30,북구,44226,31200,2299501775,강좌,0522958881,True
