순서,컬럼영문명,컬럼한글명,데이터타입,길이,PK여부,NOT NULL여부
1,ITEM_CD,종목코드,VARCHAR,10,,
2,ITEM_NM,종목명,VARCHAR,100,,
3,COURSE_NM,강좌명,VARCHAR,100,,
4,LCTRR_NM,강사명,VARCHAR,50,,
5,BEGIN_TIME,시작시간,VARCHAR,10,,
6,END_TIME,종료시간,VARCHAR,10,,
7,WKDAY_NM,요일명,VARCHAR,21,,
8,COURSE_DETAIL_CN,강좌상세내용,VARCHAR,1000,,
9,SUPLI_SLE_AT,용품판매여부,VARCHAR,12,,
10,SETLE_PRICE_VALUE,결제금액값,VARCHAR,20,,
11,ATNLC_PRC,수강가격,NUMERIC,,,
12,TRGET_YEAR,대상년도,VARCHAR,8,,
